Site,SOC,CLAY,pGPP,TSOI,lig_N
ARC,4.9,5,-259,-7,12.11678832
BNZ,6.5,5,-100,-5,26.66666667
NWT,7.1,23,-201,-3.7,12.11678832
HBR,8.9,3,304,5,20.58823529
CDR,2.5,4,-123,5.5,12.11678832
HFR,4.6,15,344,7.1,20.58823529
AND,6.5,11,400,8.6,33.42465753
SGS,1.6,24,-284,8.9,12.11678832
KBS,4,17,31,9.7,20.58823529
CWT,3.9,17,1060,12.5,20.58823529
KNZ,4.6,39,43,12.8,12.11678832
JRN,0.65,10,-171,14.6,12.11678832
SEV,0.4,12,-216,16,12.11678832
LUQ,4.1,32,650,23,18.73684211
