FID,Field1,Site,site_code_,location_n,sample_col,lat,long,lat,long,gap_num_x,gap_size_x,gaps_x,depth_x,SOC,soil_lyrs_,layer_tops,calc_notes,CLAY,pGPP,estCLAY,TSOI,lig_N,DEM,SET
37,39,S39,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12449119,-116.794308,43.12449119,-116.794308,0,0,NA,30,12.5,4,"0,5,10,20,30,50,75,100", ,14.86333333,1764.722016,20.3999996,8.5339699,15.8590002,1738.359985,CAL
3,4,S4,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.19347351,-116.810691,43.19347351,-116.810691,0,0,NA,30,1.759411765,4,"0,5,10,20",trim: loess approx to 30 cm,9.932162162,223.1760575,14.3000002,12.2800999,11.6999998,1592.23999,CAL
38,40,S40,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12303738,-116.7856704,43.12303738,-116.7856704,0,0,NA,30,5.821428571,2,"0,15,50,85",trim: cut to 30 cm,15.234,864.2598571,14.3000002,6.0898199,11.6999998,1613.140015,OUT
40,42,S42,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.11716535,-116.7257274,43.11716535,-116.7257274,0,0,NA,30,7.66,4,"0,5,10,20,30,50,70,90", ,15.65333333,682.785199,22.2999992,7.9834599,11.6999998,1915.540039,CAL
41,43,S43,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.06447579,-116.7485631,43.06447579,-116.7485631,0,0,NA,30,9.16,4,"0,5,10,20,30,40,50,60,70,80,90,100", ,15.70833333,393.5018036,20.5,7.9335999,11.6999998,2110.649902,CAL
42,44,S44,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12303246,-116.7927984,43.12303246,-116.7927984,0,0,NA,30,9.827142857,2,"0,10,45,70,100",trim: cut to 30 cm,15.81888889,1802.816046,20.3999996,7.5053802,11.6999998,1729.900024,OUT
45,47,S47,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12875942,-116.7929445,43.12875942,-116.7929445,0,0,NA,30,7.027777778,2,"0,23,50,75",trim: cut to 30 cm,17.443,641.171579,10.5,10.5836,11.6999998,1775.26001,CAL
46,48,S48,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12317978,-116.7878097,43.12317978,-116.7878097,0,0,NA,30,3.768461538,2,"0,18",trim: cut to 30 cm,17.47419355,854.0822144,14.3000002,4.6739302,18.1697006,1638.219971,CAL
47,49,S49,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12611188,-116.7890521,43.12611188,-116.7890521,0,0,NA,30,2.805,2,"0,20,40,75",trim: cut to 30 cm,17.475,507.4142105,14.3000002,11.5574999,11.6999998,1699.459961,CAL
48,50,S50,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12035214,-116.8005433,43.12035214,-116.8005433,0,0,NA,30,4.01,4,"0,5,10,20,30,42,56,73,82", ,18.28666667,462.2012131,23.7000008,9.4428902,11.6999998,1868.410034,CAL
49,51,S51,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12283706,-116.7981045,43.12283706,-116.7981045,0,0,NA,30,10.97,4,"0,5,10,20,30,67,95", ,18.48833333,995.6358521,23.7000008,6.3752398,11.6999998,1819.599976,CAL
50,52,S52,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.18051979,-116.7138797,43.18051979,-116.7138797,0,0,NA,30,1.595,4,"0,5.5,13,24,40,60",trim: loess approx to 30 cm,18.4965,-91.81344832,17.1450996,10.9786997,11.6999998,1358.089966,CAL
51,53,S53,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12387104,-116.7826147,43.12387104,-116.7826147,0,0,NA,30,9.55,4,"0,5,10,20,30,50,75", ,18.765,723.2427551,14.3000002,6.5927801,11.6999998,1568.859985,CAL
53,55,S55,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.13058584,-116.7985533,43.13058584,-116.7985533,0,0,NA,30,5.07,4,"0,5,10,20,30,50,75,100", ,19.43166667,551.1267411,23.7000008,9.5736198,11.6999998,1799.709961,CAL
54,56,S56,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.2284173,-116.7368159,43.2284173,-116.7368159,0,0,NA,30,1.083076923,4,"0,5,10,20,33,43,57,81,119,150,165,180,187,213",trim: loess approx to 30 cm,19.68212121,-83.28451347,22.1000004,11.1014004,0,1187.729981,CAL
55,57,S57,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12197197,-116.782117,43.12197197,-116.782117,0,0,NA,30,8.75,3,"0,10,20,30,50,75,100,125,150,175,200", ,20.20666667,1159.407525,14.3000002,7.7039499,11.6999998,1630.380005,CAL
56,58,S58,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.13104556,-116.7960652,43.13104556,-116.7960652,0,0,NA,30,5.510588235,2,"0,25,42,75",trim: cut to 30 cm,20.72380952,270.8597016,14.3000002,10.5711002,11.6999998,1788.130005,CAL
57,59,S59,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12258624,-116.7849555,43.12258624,-116.7849555,0,0,NA,30,7.558709677,2,"0,10,72,150,175",trim: cut to 30 cm,20.75611111,940.4531098,14.3000002,5.9746599,11.6999998,1617.430054,OUT
5,6,S6,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12453364,-116.7860349,43.12453364,-116.7860349,0,0,NA,30,2.31,2,"0,15", ,10.38,373.4331466,14.3000002,12.2628002,11.6999998,1630.51001,CAL
58,60,S60,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12222251,-116.7817345,43.12222251,-116.7817345,0,0,NA,30,8.6,2,"0,15,45,85,125",trim: cut to 30 cm,20.97666667,937.3776429,14.3000002,6.2929001,11.6999998,1614.430054,OUT
61,63,S63,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.0685844,-116.7588933,43.0685844,-116.7588933,0,0,NA,30,6.7,4,"0,5,10,20,30,50,70,90,105,122,NA", ,22.06333333,1360.199005,20.7000008,7.13276,37.5999985,2053,CAL
65,67,S67,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.14459543,-116.73561,43.14459543,-116.73561,0,0,NA,30,3.6,4,"0,5,10,20,30,43,58,73,97", ,25.87,-20.81244947,29.3999996,10.0209999,11.6999998,1609.099976,CAL
66,68,S68,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.1439637,-116.7353485,43.1439637,-116.7353485,0,0,NA,30,2.434545455,4,"0,5,10,20,31,48,62,80,101,125",trim: loess approx to 30 cm,26.38645161,-69.98426784,29.3999996,10.4624996,11.6999998,1618.25,CAL
6,7,S7,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12749278,-116.7897313,43.12749278,-116.7897313,0,0,NA,30,4.4,4,"0,5,10,20,30,50", ,10.49,384.9842041,10.5,11.1869001,11.6999998,1742.670044,CAL
68,70,S70,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.16761023,-116.7130538,43.16761023,-116.7130538,0,0,NA,30,2.08,4,"0,5,10,20,30,62,74,103,135", ,33.69333333,9.899934395,29.7000008,10.4895,11.6999998,1423.170044,CAL
70,72,S72,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.14393712,-116.7367838,43.14393712,-116.7367838,0,0,NA,30,2.242857143,4,"0,5,10,20,34,43",trim: loess approx to 30 cm,38.65352941,-95.06215021,29.3999996,9.7494001,11.6999998,1613.670044,CAL
71,73,S73,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.20024555,-116.7057467,43.20024555,-116.7057467,0,0,NA,30,1.98,4,"0,5,10,20",trim: loess approx to 30 cm,42.02777778,-235.9931435,29.7000008,9.2375498,11.6999998,1403.160034,CAL
72,74,S74,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12363069,-116.7967467,43.12363069,-116.7967467,0,0,NA,30,8.658695652,2,"0,16,39,70",trim: cut to 30 cm,55.82153846,414.2981034,23.7000008,9.3150396,11.6999998,1798.479981,OUT
8,9,S9,RCCZO,Reynolds Creek CZO,Nicholas R. Patton,43.12378073,-116.7876965,43.12378073,-116.7876965,0,0,NA,30,4.481666667,2,"0,5,35,85,110,125",trim: cut to 30 cm,10.69714286,1111.496021,14.3000002,11.8063002,11.6999998,1618.839966,CAL
