"","site_code","location_name","sample_collector","lat","long","gap_num","gap_size","gaps","depth","analyte_avg","analyte_tot","soil_lyrs_n","layer_tops","calc_notes"
"37","RCCZO","Reynolds Creek CZO","Ryan Will",43.07824172,-116.8259551,0,0,NA,30,1711.66666666667,6350,4,"0,5,10,20,30,40,50,60,70,80",""
"38","RCCZO","Reynolds Creek CZO","Ryan Will",43.07824624,-116.8259674,0,0,NA,30,1418.33333333333,5150,4,"0,5,10,20,30,40,50,60,70,80",""
"39","RCCZO","Reynolds Creek CZO","Ryan Will",43.07824804,-116.8260299,0,0,NA,30,1613.33333333333,5790,4,"0,5,10,20,30,40,50,60,70,80",""
"40","RCCZO","Reynolds Creek CZO","Ryan Will",43.07838488,-116.8258952,0,0,NA,30,1106.66666666667,4000,4,"0,5,10,20,30,40,50,60,70,80",""
"41","RCCZO","Reynolds Creek CZO","Ryan Will",43.07839329,-116.8259093,0,0,NA,30,730,2696.66666666667,4,"0,5,10,20,30,40,50,60,70,80",""
"42","RCCZO","Reynolds Creek CZO","Ryan Will",43.07841568,-116.8258256,0,0,NA,30,1463.33333333333,5280,4,"0,5,10,20,30,40,50,60,70,80",""
"43","RCCZO","Reynolds Creek CZO","Ryan Will",43.0784247,-116.8258348,0,0,NA,30,1508.33333333333,5490,4,"0,5,10,20,30,40,50,60,70,80",""
"44","RCCZO","Reynolds Creek CZO","Ryan Will",43.07859069,-116.8259174,0,0,NA,30,1506.66666666667,5670,4,"0,5,10,20,30,40,50,60,70,80",""
"45","RCCZO","Reynolds Creek CZO","Ryan Will",43.07859457,-116.8259249,0,0,NA,30,1496.66666666667,5670,4,"0,5,10,20,30,40,50,60,70,80",""
"46","RCCZO","Reynolds Creek CZO","Ryan Will",43.08353393,-116.7422163,0,0,NA,30,1810,6500,4,"0,5,10,20,30,40,50,60,70,80",""
"47","RCCZO","Reynolds Creek CZO","Ryan Will",43.08354902,-116.7424246,0,0,NA,30,950,3470,4,"0,5,10,20,30,40,50,60,70,80",""
"48","RCCZO","Reynolds Creek CZO","Ryan Will",43.08355882,-116.7421654,0,0,NA,30,1496.66666666667,5650,4,"0,5,10,20,30,40,50,60,70,80",""
