FID,site_code,location_name,lat,long,gap_num,gap_size,gaps,depth,analyte_avg,soil_lyrs_n,calc_notes
258,RCCZO,Reynolds Creek CZO,43.21164035,-116.73578720,0,0,NA,30,478.3333333,4,
259,RCCZO,Reynolds Creek CZO,43.21164507,-116.73579170,0,0,NA,30,418.3333333,4,
260,RCCZO,Reynolds Creek CZO,43.22841730,-116.73681590,0,0,NA,30,276.3636364,4,trim: loess approx to 30 cm
261,RCCZO,Reynolds Creek CZO,43.23447765,-116.74632580,0,0,NA,30,526.6666667,4,
262,RCCZO,Reynolds Creek CZO,43.23448083,-116.74630820,0,0,NA,30,335,4,
263,RCCZO,Reynolds Creek CZO,43.23448512,-116.74663810,0,0,NA,30,381.6666667,4,
264,RCCZO,Reynolds Creek CZO,43.23455390,-116.74618760,0,0,NA,30,650,4,
265,RCCZO,Reynolds Creek CZO,43.23456973,-116.74618090,0,0,NA,30,890,4,
266,RCCZO,Reynolds Creek CZO,43.23464620,-116.74664580,0,0,NA,30,550,4,
267,RCCZO,Reynolds Creek CZO,43.23464708,-116.74653390,0,0,NA,30,242.2222222,4,
268,RCCZO,Reynolds Creek CZO,43.23464942,-116.74663350,0,0,NA,30,428.3333333,4,
269,RCCZO,Reynolds Creek CZO,43.23466902,-116.74655020,0,0,NA,30,486.6666667,4,
270,RCCZO,Reynolds Creek CZO,43.24379682,-116.70696640,0,0,NA,30,361.6666667,4,
271,RCCZO,Reynolds Creek CZO,43.24381094,-116.70696460,0,0,NA,30,361.6666667,4,
272,RCCZO,Reynolds Creek CZO,43.24391588,-116.72886960,0,0,NA,30,528.3333333,4,
273,RCCZO,Reynolds Creek CZO,43.24392032,-116.72884490,0,0,NA,30,858.3333333,4,
274,RCCZO,Reynolds Creek CZO,43.24392694,-116.70673480,0,0,NA,30,450,4,
275,RCCZO,Reynolds Creek CZO,43.24393796,-116.70674490,0,0,NA,30,306.6666667,4,
276,RCCZO,Reynolds Creek CZO,43.24395662,-116.72934560,0,0,NA,30,590,4,
277,RCCZO,Reynolds Creek CZO,43.24396110,-116.72933330,0,0,NA,30,788.3333333,4,
278,RCCZO,Reynolds Creek CZO,43.24398128,-116.70679720,0,0,NA,30,380,4,
279,RCCZO,Reynolds Creek CZO,43.24398495,-116.70682390,0,0,NA,30,390,4,
280,RCCZO,Reynolds Creek CZO,43.24409149,-116.70675560,0,0,NA,30,316.6666667,4,
281,RCCZO,Reynolds Creek CZO,43.24410090,-116.72905080,0,0,NA,30,455.5555556,4,
282,RCCZO,Reynolds Creek CZO,43.24410213,-116.70674480,0,0,NA,30,341.6666667,4,
283,RCCZO,Reynolds Creek CZO,43.24410994,-116.72906310,0,0,NA,30,890,4,
284,RCCZO,Reynolds Creek CZO,43.24411543,-116.70659930,0,0,NA,30,351.6666667,4,
285,RCCZO,Reynolds Creek CZO,43.24412655,-116.70658830,0,0,NA,30,290,4,
286,RCCZO,Reynolds Creek CZO,43.24415966,-116.72899600,0,0,NA,30,456.6666667,4,
287,RCCZO,Reynolds Creek CZO,43.24416869,-116.72900520,0,0,NA,30,366.6666667,4,
288,RCCZO,Reynolds Creek CZO,43.24427134,-116.72908120,0,0,NA,30,353.3333333,4,
289,RCCZO,Reynolds Creek CZO,43.24427805,-116.72906270,0,0,NA,30,438.3333333,4,
290,RCCZO,Reynolds Creek CZO,43.24719902,-116.73791870,0,0,NA,30,218.3333333,4,
291,RCCZO,Reynolds Creek CZO,43.24720581,-116.73793100,0,0,NA,30,253.3333333,4,
292,RCCZO,Reynolds Creek CZO,43.24720654,-116.70716480,0,0,NA,30,155,4,
293,RCCZO,Reynolds Creek CZO,43.24722035,-116.73799190,0,0,NA,30,143.3333333,4,
294,RCCZO,Reynolds Creek CZO,43.24722932,-116.73797340,0,0,NA,30,175,4,
295,RCCZO,Reynolds Creek CZO,43.24730009,-116.73797240,0,0,NA,30,180,4,
296,RCCZO,Reynolds Creek CZO,43.24730456,-116.73796000,0,0,NA,30,336.6666667,4,
297,RCCZO,Reynolds Creek CZO,43.24731557,-116.73797630,0,0,NA,30,148.3333333,4,
298,RCCZO,Reynolds Creek CZO,43.24731649,-116.73798570,0,0,NA,30,163.3333333,4,
299,RCCZO,Reynolds Creek CZO,43.24739609,-116.73828940,0,0,NA,30,128.3333333,4,
300,RCCZO,Reynolds Creek CZO,43.24740730,-116.73827090,0,0,NA,30,65,4,
301,RCCZO,Reynolds Creek CZO,43.25420515,-116.70640320,0,0,NA,30,516.6666667,4,
302,RCCZO,Reynolds Creek CZO,43.25420945,-116.70641360,0,0,NA,30,476.6666667,4,
303,RCCZO,Reynolds Creek CZO,43.25437144,-116.70636190,0,0,NA,30,483.3333333,4,
304,RCCZO,Reynolds Creek CZO,43.25439319,-116.70636610,0,0,NA,30,533.3333333,4,
305,RCCZO,Reynolds Creek CZO,43.25441711,-116.70651980,0,0,NA,30,328.3333333,4,
306,RCCZO,Reynolds Creek CZO,43.25442168,-116.70653270,0,0,NA,30,338.3333333,4,
307,RCCZO,Reynolds Creek CZO,43.25443275,-116.70625160,0,0,NA,30,650,4,
308,RCCZO,Reynolds Creek CZO,43.25443284,-116.70626210,0,0,NA,30,541.6666667,4,
309,RCCZO,Reynolds Creek CZO,43.25456690,-116.70656620,0,0,NA,30,501.6666667,4,
310,RCCZO,Reynolds Creek CZO,43.25457665,-116.70656270,0,0,NA,30,625,4,
311,RCCZO,Reynolds Creek CZO,43.25856136,-116.77555530,0,0,NA,30,411.6666667,4,
312,RCCZO,Reynolds Creek CZO,43.25856814,-116.77556760,0,0,NA,30,315,4,
313,RCCZO,Reynolds Creek CZO,43.25864945,-116.77570300,0,0,NA,30,511.6666667,4,
314,RCCZO,Reynolds Creek CZO,43.25865197,-116.77565580,0,0,NA,30,400,4,
315,RCCZO,Reynolds Creek CZO,43.25865849,-116.77572140,0,0,NA,30,430,4,
316,RCCZO,Reynolds Creek CZO,43.25866095,-116.77564340,0,0,NA,30,337.7777778,4,
317,RCCZO,Reynolds Creek CZO,43.25880873,-116.77569710,0,0,NA,30,345,4,
318,RCCZO,Reynolds Creek CZO,43.25881776,-116.77570940,0,0,NA,30,441.6666667,4,
319,RCCZO,Reynolds Creek CZO,43.25886706,-116.77550500,0,0,NA,30,290,4,
320,RCCZO,Reynolds Creek CZO,43.25887248,-116.77551120,0,0,NA,30,366.6666667,4,
321,RCCZO,Reynolds Creek CZO,43.27946818,-116.80868650,0,0,NA,30,728.3333333,4,
322,RCCZO,Reynolds Creek CZO,43.27947271,-116.80869880,0,0,NA,30,703.3333333,4,
323,RCCZO,Reynolds Creek CZO,43.27954562,-116.80852170,0,0,NA,30,1375,4,
324,RCCZO,Reynolds Creek CZO,43.27955461,-116.80851550,0,0,NA,30,1496.666667,4,
325,RCCZO,Reynolds Creek CZO,43.27961997,-116.80855700,0,0,NA,30,1142.777778,4,
326,RCCZO,Reynolds Creek CZO,43.27962448,-116.80856310,0,0,NA,30,1206.666667,4,
327,RCCZO,Reynolds Creek CZO,43.27964203,-116.80839970,0,0,NA,30,1053.333333,4,
328,RCCZO,Reynolds Creek CZO,43.27964385,-116.80841200,0,0,NA,30,1056.666667,4,
329,RCCZO,Reynolds Creek CZO,43.27973743,-116.80869130,0,0,NA,30,1103.333333,4,
330,RCCZO,Reynolds Creek CZO,43.27974419,-116.80869440,0,0,NA,30,965,4,
331,RCCZO,Reynolds Creek CZO,43.28640106,-116.77874080,0,0,NA,30,946.6666667,4,
332,RCCZO,Reynolds Creek CZO,43.28640330,-116.77873460,0,0,NA,30,903.3333333,4,
333,RCCZO,Reynolds Creek CZO,43.28646533,-116.77858840,0,0,NA,30,495,4,
334,RCCZO,Reynolds Creek CZO,43.28647435,-116.77859460,0,0,NA,30,493.3333333,4,
335,RCCZO,Reynolds Creek CZO,43.28649973,-116.77868310,0,0,NA,30,813.3333333,4,
336,RCCZO,Reynolds Creek CZO,43.28654277,-116.77882200,0,0,NA,30,683.3333333,4,
337,RCCZO,Reynolds Creek CZO,43.28654725,-116.77880960,0,0,NA,30,535,4,
338,RCCZO,Reynolds Creek CZO,43.28658903,-116.77852980,0,0,NA,30,786.6666667,4,
