FID,site_code,location_name,lat,long,gap_num,gap_size,gaps,depth,analyte_avg,soil_lyrs_n,calc_notes
63,RCCZO,Reynolds Creek CZO,43.10230634,-116.78363830,0,0,NA,30,1905,4,
64,RCCZO,Reynolds Creek CZO,43.10231699,-116.78363760,0,0,NA,30,1985,4,
65,RCCZO,Reynolds Creek CZO,43.10239559,-116.80246260,0,0,NA,30,743.3333333,4,
66,RCCZO,Reynolds Creek CZO,43.10240349,-116.80245290,0,0,NA,30,925,4,
67,RCCZO,Reynolds Creek CZO,43.10246064,-116.78400500,0,0,NA,30,1211.666667,4,
68,RCCZO,Reynolds Creek CZO,43.10246759,-116.78400010,0,0,NA,30,1298.333333,4,
69,RCCZO,Reynolds Creek CZO,43.10251041,-116.78359590,0,0,NA,30,2281.666667,4,
70,RCCZO,Reynolds Creek CZO,43.10251433,-116.78358210,0,0,NA,30,2286.666667,4,
71,RCCZO,Reynolds Creek CZO,43.10253094,-116.78377180,0,0,NA,30,2336.111111,4,
72,RCCZO,Reynolds Creek CZO,43.10253977,-116.78378830,0,0,NA,30,2201.666667,4,
73,RCCZO,Reynolds Creek CZO,43.10272496,-116.78372050,0,0,NA,30,2060,4,
74,RCCZO,Reynolds Creek CZO,43.10272712,-116.78370840,0,0,NA,30,2093.333333,4,
75,RCCZO,Reynolds Creek CZO,43.10453363,-116.73811710,0,0,NA,30,533.3333333,4,
76,RCCZO,Reynolds Creek CZO,43.10454054,-116.73812140,0,0,NA,30,398.3333333,4,
77,RCCZO,Reynolds Creek CZO,43.10455478,-116.73798560,0,0,NA,30,415,4,
78,RCCZO,Reynolds Creek CZO,43.10456275,-116.73799140,0,0,NA,30,341.6666667,4,
79,RCCZO,Reynolds Creek CZO,43.10462141,-116.73828940,0,0,NA,30,578.3333333,4,
80,RCCZO,Reynolds Creek CZO,43.10462945,-116.73829400,0,0,NA,30,481.6666667,4,
81,RCCZO,Reynolds Creek CZO,43.10465181,-116.73811890,0,0,NA,30,543.3333333,4,
82,RCCZO,Reynolds Creek CZO,43.10465614,-116.73813290,0,0,NA,30,309.4444444,4,
83,RCCZO,Reynolds Creek CZO,43.10477724,-116.73796340,0,0,NA,30,346.6666667,4,
84,RCCZO,Reynolds Creek CZO,43.10478041,-116.73796770,0,0,NA,30,200,4,
85,RCCZO,Reynolds Creek CZO,43.10610637,-116.77300340,0,0,NA,30,1421.666667,4,
86,RCCZO,Reynolds Creek CZO,43.10611675,-116.77301540,0,0,NA,30,1036.666667,4,
87,RCCZO,Reynolds Creek CZO,43.10616960,-116.77289660,0,0,NA,30,1250,4,
88,RCCZO,Reynolds Creek CZO,43.10617939,-116.77289480,0,0,NA,30,1225,4,
89,RCCZO,Reynolds Creek CZO,43.10619377,-116.77305870,0,0,NA,30,1072.222222,4,
90,RCCZO,Reynolds Creek CZO,43.10620136,-116.77306640,0,0,NA,30,1091.666667,4,
91,RCCZO,Reynolds Creek CZO,43.10621480,-116.77319250,0,0,NA,30,1105,4,
92,RCCZO,Reynolds Creek CZO,43.10621659,-116.77320460,0,0,NA,30,943.3333333,4,
93,RCCZO,Reynolds Creek CZO,43.10637732,-116.77304770,0,0,NA,30,1258.333333,4,
94,RCCZO,Reynolds Creek CZO,43.10638402,-116.77305140,0,0,NA,30,1131.666667,4,
95,RCCZO,Reynolds Creek CZO,43.11046311,-116.73291830,0,0,NA,30,1573.333333,4,
96,RCCZO,Reynolds Creek CZO,43.11047207,-116.73289980,0,0,NA,30,1726.666667,4,
97,RCCZO,Reynolds Creek CZO,43.11048113,-116.73292440,0,0,NA,30,1026.666667,4,
98,RCCZO,Reynolds Creek CZO,43.11048746,-116.73293420,0,0,NA,30,1195,4,
99,RCCZO,Reynolds Creek CZO,43.11051771,-116.73316390,0,0,NA,30,1965,4,
100,RCCZO,Reynolds Creek CZO,43.11052667,-116.73314540,0,0,NA,30,2681.666667,4,
101,RCCZO,Reynolds Creek CZO,43.11065860,-116.73334150,0,0,NA,30,1713.333333,4,
102,RCCZO,Reynolds Creek CZO,43.11066219,-116.73333530,0,0,NA,30,1771.666667,4,
103,RCCZO,Reynolds Creek CZO,43.11068821,-116.73291000,0,0,NA,30,1765,4,
104,RCCZO,Reynolds Creek CZO,43.11069985,-116.73288040,0,0,NA,30,2565,4,
105,RCCZO,Reynolds Creek CZO,43.11716535,-116.72572740,0,0,NA,30,2193.333333,4,
106,RCCZO,Reynolds Creek CZO,43.11980227,-116.72292300,0,0,NA,30,1558.333333,4,
107,RCCZO,Reynolds Creek CZO,43.12035214,-116.80054330,0,0,NA,30,1045,4,
108,RCCZO,Reynolds Creek CZO,43.12158715,-116.78797400,0,0,NA,30,3391.875,2,trim: cut to 30 cm
109,RCCZO,Reynolds Creek CZO,43.12187239,-116.78559600,0,0,NA,30,4796.181818,3,trim: loess approx to 30 cm
110,RCCZO,Reynolds Creek CZO,43.12197197,-116.78211700,0,0,NA,30,2916.666667,3,
111,RCCZO,Reynolds Creek CZO,43.12209370,-116.78016830,0,0,NA,30,1640,3,
112,RCCZO,Reynolds Creek CZO,43.12222251,-116.78173450,0,0,NA,30,5946.666667,2,trim: cut to 30 cm
113,RCCZO,Reynolds Creek CZO,43.12231214,-116.77942300,0,0,NA,30,8456.666667,2,trim: cut to 30 cm
114,RCCZO,Reynolds Creek CZO,43.12258624,-116.78495550,0,0,NA,30,13041.38889,2,trim: cut to 30 cm
115,RCCZO,Reynolds Creek CZO,43.12283706,-116.79810450,0,0,NA,30,3035,4,
116,RCCZO,Reynolds Creek CZO,43.12292115,-116.78278500,0,0,NA,30,3310.909091,2,trim: cut to 30 cm
117,RCCZO,Reynolds Creek CZO,43.12298817,-116.77691300,0,0,NA,30,976.6666667,4,
118,RCCZO,Reynolds Creek CZO,43.12303246,-116.79279840,0,0,NA,30,9036.666667,2,trim: cut to 30 cm
119,RCCZO,Reynolds Creek CZO,43.12303738,-116.78567040,0,0,NA,30,4775,2,trim: cut to 30 cm
120,RCCZO,Reynolds Creek CZO,43.12317978,-116.78780970,0,0,NA,30,2034.193548,2,trim: cut to 30 cm
121,RCCZO,Reynolds Creek CZO,43.12349175,-116.78748790,0,0,NA,30,8913.333333,2,trim: cut to 30 cm
122,RCCZO,Reynolds Creek CZO,43.12363069,-116.79674670,0,0,NA,30,4908.974359,2,trim: cut to 30 cm
123,RCCZO,Reynolds Creek CZO,43.12378073,-116.78769650,0,0,NA,30,3157.142857,2,trim: cut to 30 cm
124,RCCZO,Reynolds Creek CZO,43.12385697,-116.78002450,0,0,NA,30,2342,2,trim: cut to 30 cm
125,RCCZO,Reynolds Creek CZO,43.12387104,-116.78261470,0,0,NA,30,2490,4,
