run_num,Vslope_x,Vint_x,Kslope_x,Kint_x,Tau_x,CUE_x,desorb_x,fPHYS_x,RMSE
367791,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
401622,3.330618915,1.950990157,2.120478228,2.876741473,0.327335487,0.394445606,0.083298617,0.279927452,1.840565898
243538,2.521382574,2.111348485,0.652190172,2.92995661,0.461851901,0.566972556,0.071564111,0.303710861,1.864458825
214553,3.953473926,0.718440429,0.837751291,0.548083129,0.530136543,0.678614162,0.137918287,0.738816949,1.898590175
263710,2.835454242,1.155902328,1.973199645,1.326930676,0.565887929,0.603213911,0.054115269,0.139518299,1.901121868
36463,3.728377451,2.016403727,3.531530797,2.80250632,0.728934659,0.741957366,0.119691725,0.227505146,1.903473961
475570,2.74122626,1.946890296,1.693300671,2.4484998,0.330298376,0.439105373,0.090055951,0.680081153,1.905602887
90894,3.433489141,1.072043326,1.016225485,1.077956008,1.764399757,1.151865046,0.117763378,0.109921738,1.923140666
476691,3.076749056,1.943057492,2.318028632,2.26200966,0.438785077,0.469503005,0.025700135,0.035742593,1.926478722
366700,3.429347421,1.23029191,3.102009445,1.518491233,0.705587221,0.755591511,0.078461865,0.14158881,1.926867633
8112,3.579434454,1.770555424,3.212976473,2.298245903,1.978136502,1.241326012,0.116548958,0.044081335,1.930720324
324954,3.313694051,1.446788018,0.660408532,1.976828415,0.429711744,0.850246285,0.060967272,0.115748714,1.936172597
171588,3.958496354,1.832400513,0.573328573,2.848083993,0.446387951,0.574961675,0.125558045,0.627340376,1.936579652
461005,2.687395929,0.789814859,1.008463424,0.839350438,0.305498814,0.753645827,0.117371092,0.287511366,1.939202976
418792,1.923330431,1.17193146,0.939871237,1.113060049,0.431290384,0.663241492,0.092815801,0.335757315,1.942411435
280144,2.127295485,1.349077732,3.440591177,1.088973109,0.414414082,0.567081535,0.119812002,0.920121698,1.947843745
477645,3.985606265,1.413517207,3.77227307,1.635182778,0.894952934,1.005238296,0.053310596,0.043952363,1.949354821
347657,1.816439957,1.392605343,0.729507928,1.269606127,0.555321886,0.60373171,0.072405468,0.310993821,1.953970771
126806,3.419498085,1.488180734,2.483621078,1.520661683,2.386209829,1.297390023,0.046727586,0.023450284,1.956721612
464110,1.763693136,1.041764348,2.868010131,0.711577388,0.34644522,0.557074733,0.140351876,1.184475496,1.957819871
127549,2.106309285,0.656064483,2.339019564,0.489598681,0.342604094,0.576087976,0.092763746,0.315562217,1.968514565
487788,2.153496398,2.035196685,2.394949777,2.535962485,0.579163662,0.758888274,0.078260916,0.207456954,1.969030845
129808,3.582901559,1.115210786,0.678129227,1.756472939,0.36735134,1.153740299,0.06559692,0.023872737,1.970440095
277308,1.945053469,1.075224983,1.230145522,1.058659257,0.531467836,0.77066704,0.128198744,0.427651389,1.981000218
492635,1.370369209,0.933797032,0.537035972,0.788651319,0.504212443,0.964254013,0.088386491,0.13094903,1.982001788
257538,3.480522534,1.137521958,3.174192191,1.129016017,0.371882681,0.389231444,0.067873203,0.348070634,1.993718629
32008,3.03407063,1.767048633,1.940071002,2.057721889,0.802192629,0.902546586,0.044224818,0.049587323,1.996000746
42816,2.977116608,0.549479962,0.840998551,0.450849206,1.762795997,1.117566185,0.123925211,0.022649971,1.996687654
73191,2.265661061,1.005899063,0.692706394,1.325509501,0.516200293,1.253596861,0.108140702,0.037840241,1.998443738
392694,1.271094139,1.572550032,1.193196684,1.552049586,1.547695688,1.268659052,0.033677679,0.014074956,1.998595378
