"","Site","lat","long","SOC","CLAY","pGPP","TSOI","lig_N","MIMSOC","MIMMIC","MIMLIT","MIM_CO","LITm","LITs","MICr","MICK","SOMa","SOMc","SOMp","desorb","JITn","DEBUG","run_num","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","RMSE"
"51","S3",43.18866189,-116.8130672,5.91,7.375,238.8560028,9.4678097,11.6999998,3.4249378205581,0.0419069034522574,0.759089079405455,0.455907825725567,0.120128396102338,0.638960683303117,0.0131228673259507,0.0287840361263067,0.164527401459568,0.382684203533976,2.07673023270684,1.05390945258433e-06,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"52","S30",43.18077561,-116.7145575,2.199230769,13.10452381,0.631347,10.4433002,11.6999998,2.61102861064468,0.0263741618504503,0.615642678299715,0.476114678571911,0.0941679284234489,0.521474749876266,0.00850687671785725,0.0178672851325931,0.155754857370082,0.312492007179797,1.50076490594464,9.67116496133705e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"53","S31",43.12421955,-116.7895852,3.017142857,13.48833333,389.9700012,11.2613001,11.6999998,3.95013755521434,0.0520152428062969,0.516601761970546,0.477663650083944,0.0784016092805875,0.438200152689959,0.0168142396528783,0.0352010031534186,0.131124512347111,0.262569286791783,2.9878267512986,9.61564665037907e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"54","S32",43.12752508,-116.7925417,5.023333333,13.516,601.0980225,10.6028996,11.6999998,4.90397567895333,0.0659169556950046,0.595048620384542,0.477797306627713,0.0907186733994582,0.504329946985084,0.0213120864078728,0.0446048692871319,0.151844829478441,0.302178460459489,3.78898681293585,9.61165698445142e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"55","S33",43.12416094,-116.7826214,3.03,13.725,545.0159912,11.1452999,11.6999998,4.59188428811726,0.062233571244705,0.529624121634471,0.478582177396205,0.0803529714657773,0.449271150168694,0.0201435391882529,0.0420900320564521,0.135298543266126,0.269202867834467,3.59552518413749,9.58157162324932e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"56","S34",43.1242439,-116.7916884,3.431090909,13.98132353,600.0189819,11.5906,11.6999998,4.74479891235922,0.0658658853956472,0.481377656958453,0.479600231291455,0.0727037644735478,0.408673892484905,0.0213498843822135,0.0445160010134337,0.123311483781952,0.244877275566922,3.82936661065625,9.54480262032872e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"57","S35",43.1220937,-116.7801683,4.92,14.08333333,612.3400269,7.7888899,11.6999998,5.88014302007916,0.0666809125194433,1.08864509399489,0.480021552732595,0.168834428533744,0.91981066546115,0.0216268980043649,0.0450540145150785,0.287182157488864,0.551134694127611,3.88650016194835,9.53020883739765e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"58","S36",43.19214026,-116.8079732,8.67,14.18166667,379.1430054,6.73283,11.6999998,5.46926332229388,0.0513271513385354,1.36522175099321,0.480306850854335,0.213273858837883,1.15194789215533,0.0166538325540464,0.034673318784489,0.363767314599658,0.690325621136533,2.99862148422594,9.5161621403959e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"59","S37",43.12667447,-116.7868472,3.17,14.255,525.0319824,11.8634005,11.6999998,4.42949881145766,0.0609378293887458,0.453991626090862,0.480671265082962,0.0683389442361704,0.385652681854691,0.0197822867468539,0.0411555426418919,0.1168036785381,0.231093771263331,3.56667190617662,9.50570011768443e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"60","S38",43.19243739,-116.8066319,5.67,14.655,252.7100067,7.66081,11.6999998,4.56989317105378,0.0430109721681677,1.11876794451575,0.482197515446217,0.173180902750397,0.945587041765348,0.0139925912034559,0.0290183809647119,0.299297557621328,0.566681283718274,2.54213541303027,9.44883667788793e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"61","S39",43.12449119,-116.794308,12.5,14.86333333,1661.640015,8.5339699,15.8590002,9.85431255425515,0.135850445596645,0.928135016216165,0.483292989518948,0.142588475772954,0.785546540443211,0.0442633845395419,0.0915870610571035,0.247850325664157,0.470576703950079,8.0719000628281,9.41935515261659e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"62","S4",43.19347351,-116.810691,1.759411765,9.932162162,193.5010071,12.2800999,11.6999998,2.81474853490859,0.0389892341251139,0.415199327798134,0.464682252569355,0.0636277514908414,0.351571576307293,0.0123696488487041,0.0266195852764098,0.0954123962446806,0.210586779046215,2.05456079769444,1.01424967800651e-06,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"63","S40",43.12303738,-116.7856704,5.821428571,15.234,804.0570068,6.0898199,11.6999998,7.62764028121744,0.0793658689482628,1.56748166589873,0.4846642739693,0.244631896127695,1.32284976977103,0.0259087538685853,0.0534571150796775,0.429577917603879,0.792709332365012,4.75850549640156,9.36712886113054e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
"64","S42",43.11716535,-116.7257274,7.66,15.65333333,631.223999,7.9834599,11.6999998,6.04521473656308,0.0679970986553245,1.04397999223731,0.486256049215118,0.160413422536656,0.883566569700657,0.022246503600567,0.0457505950547574,0.284851892328258,0.529520236265941,4.11886551707624,9.30839453416665e-07,1,"",1,3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,1.811843666
