"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","SOMpTO","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,0,1
"2",1,1,3.75338745722547,0.547576435958035,2.42837093165144,0.31211856849608,1,1,1,1,0.26,0.53,4.11652307516785,0.0151537401145893,0.240752755919535,0.000114155251141553,0
"3",1,2,1,1,1,1,2.04806639440358,1.79613463019487,1,1,0,0.515,2411.88373811234,0,1,0.000114155251141553,0
"4",1,3,1,1,1,1,1,1,0.610349684720859,0.314482465782203,1.84,0.744,1.78889910572534,0.00964010499659974,0.324743501514779,0.000187032538885903,1
"5",2,4,3.31226194789633,3.60605096281506,1.50496453873347,2.05544904880458,1,1,0.610349684720859,0.314482465782203,0.56,0.15,4.27537625496928,0.0739654918344699,7.76439935062624e-05,0.000187032538885903,0
"6",2,5,1,1,1,1,1.98268638371956,2.71200699529145,0.610349684720859,0.314482465782203,0,0.514,2411.8122230494,0,1,0.000187032538885903,0
"7",2,6,1,1,1,1,1,1,0.681065451772883,0.715991448750719,1.26,0.651,1.97773857715664,0.00828427911809374,0.289934704606234,0.000167612746828362,0
"8",3,7,2.45889683254063,2.72779423976317,3.8027609095443,1.55484271666501,1,1,0.610349684720859,0.314482465782203,0.56,0.151,4.27383156689902,0.0735982689537305,0.00176174090747341,0.000187032538885903,0
"9",3,8,1,1,1,1,0.716683429805562,1.87842444479465,0.610349684720859,0.314482465782203,0,0.515,2412.04276021615,0,1,0.000187032538885903,0
"10",3,9,1,1,1,1,1,1,0.285311610228382,2.37132230640855,0.13,0.297,8.27222102888931,0.00399006565948635,0.16326400806218,0.000400107275866465,0
"11",4,10,1.30637027951889,3.59234111884143,1.66212641878519,2.04763443773962,1,1,0.610349684720859,0.314482465782203,0.56,0.15,4.27537192785347,0.0739743700091894,7.5137843817349e-05,0.000187032538885903,0
"12",4,11,1,1,1,1,2.04326564045623,2.33924470031634,0.610349684720859,0.314482465782203,0,0.514,2411.82115727489,0,1,0.000187032538885903,0
"13",4,12,1,1,1,1,1,1,1.18820451765787,2.61701770040672,0.86,0.598,2.68895246959655,0.00697868386164253,0.245232372349146,9.60737393648105e-05,0
"14",5,13,3.26024781388696,2.88195472513326,0.576400808058679,1.64271419332596,1,1,0.610349684720859,0.314482465782203,0.56,0.151,4.27444706507865,0.073682135024183,0.00120636011582418,0.000187032538885903,0
"15",5,14,1,1,1,1,2.11472559233662,2.47838015358429,0.610349684720859,0.314482465782203,0,0.514,2411.81527527162,0,1,0.000187032538885903,0
"16",5,15,1,1,1,1,1,1,2.71042656833306,0.442715303925797,2.22,0.784,1.80607475385959,0.011187518195068,0.354846102952708,4.21170794572602e-05,0
"17",6,16,3.27382149663754,2.67256745533086,1.01072675571777,1.52336344953859,1,1,0.610349684720859,0.314482465782203,0.56,0.152,4.27338504151411,0.0733662520977835,0.00241652402538306,0.000187032538885903,0
"18",6,17,1,1,1,1,1.2416942960117,1.99169170446694,0.610349684720859,0.314482465782203,0,0.515,2411.89156797093,0,1,0.000187032538885903,0
"19",6,18,1,1,1,1,1,1,2.04776847064495,2.78914062532131,1.3,0.706,2.1775440763433,0.007888333884393,0.2659216522658,5.5746170906518e-05,0
"20",7,19,3.6389231585199,1.03303849662188,3.25379298243206,0.588831943074474,1,1,0.610349684720859,0.314482465782203,2.16,0.619,3.55828299147317,0.03642622093731,0.177548419934286,0.000187032538885903,0
"21",7,20,1,1,1,1,0.752664065896533,0.280213838652708,0.610349684720859,0.314482465782203,0.7,0.735,6.80542985017497,0.000858588051012172,0.657269866993108,0.000187032538885903,0
"22",7,21,1,1,1,1,1,1,1.92735123117454,2.69622995215468,1.28,0.7,2.18280053712371,0.00786190297829318,0.264979801710035,5.92290856462034e-05,0
"23",8,22,0.953446441679262,3.1911046798341,1.11693963198923,1.81892966750544,1,1,0.610349684720859,0.314482465782203,0.56,0.15,4.27516950615853,0.0739001579014267,0.000329350770259338,0.000187032538885903,0
"24",8,23,1,1,1,1,1.85449352131691,0.391030080011115,0.610349684720859,0.314482465782203,0.4,0.734,14.9032860594964,0.000303381167646137,0.618604599613275,0.000187032538885903,0
"25",8,24,1,1,1,1,1,1,1.86814283952117,1.59921024513897,1.68,0.75,1.82936896818885,0.00883967174013114,0.289445687144277,6.11062755623184e-05,0
"26",9,25,3.82913076225668,2.93293106579222,1.96820490167011,1.67177070750156,1,1,0.610349684720859,0.314482465782203,0.56,0.151,4.27463866232703,0.0737366454912404,0.000961098915255954,0.000187032538885903,0
"27",9,26,1,1,1,1,0.390540991118178,2.83970548124053,0.610349684720859,0.314482465782203,0,0.515,2411.92981386136,0,1,0.000187032538885903,0
"28",9,27,1,1,1,1,1,1,2.06787761943415,1.76174609474838,1.68,0.754,1.83279849200628,0.00885140290422074,0.287823722428354,5.52040653028538e-05,0
"29",10,28,0.639031633618288,3.87654926104005,1.84907578944694,2.20963307879283,1,1,0.610349684720859,0.314482465782203,0.56,0.15,4.27764332996225,0.0730927323946887,3.686974091222e-05,0.000187032538885903,0
"30",10,29,1,1,1,1,2.0509789733449,2.56016579377465,0.610349684720859,0.314482465782203,0,0.514,2411.81424771444,0,1,0.000187032538885903,0
"31",10,30,1,1,1,1,1,1,2.07730109230615,0.691747025796212,2.14,0.789,1.76295896940135,0.0103293138507123,0.333658678282647,5.49536374694826e-05,1
"32",11,31,1.74393787363078,3.29290551622398,1.00071668846067,1.87695614424767,1,1,2.07730109230615,0.691747025796212,1.09,0.16,4.54103723032511,0.127123029972107,0.000353106536674061,5.49536374694826e-05,0
"33",11,32,1,1,1,1,0.752056811400689,2.48090161778964,2.07730109230615,0.691747025796212,0,0.515,2411.86513331003,0,1,5.49536374694826e-05,0
"34",11,33,1,1,1,1,1,1,0.326034941081889,2.65480264110956,0.14,0.308,7.9352717977608,0.00408090594883301,0.167074693410226,0.000350131954454785,0
"35",12,34,3.35613070009276,1.03438006865326,1.10249146656133,0.58959663913236,1,1,2.07730109230615,0.691747025796212,1.59,0.565,3.79435471981931,0.0597178802197788,0.179188471729203,5.49536374694826e-05,0
"36",12,35,1,1,1,1,1.24412931187544,2.8898330536671,2.07730109230615,0.691747025796212,0,0.514,2411.82053532468,0,1,5.49536374694826e-05,0
"37",12,36,1,1,1,1,1,1,0.143679279810749,2.96353588397615,0.04,0.227,19.4638265206166,0.0024215979655477,0.106530170601095,0.000794514360678277,0
"38",13,37,1.30349016177934,2.51165779971052,1.94067516620271,1.431644945835,1,1,2.07730109230615,0.691747025796212,1.1,0.162,4.53739467887927,0.124674970221643,0.00674913749350137,5.49536374694826e-05,0
"39",13,38,1,1,1,1,2.18994602411985,0.359626410691999,2.07730109230615,0.691747025796212,0.29,0.727,22.0854447909354,0.000155453633272966,0.63768067564514,5.49536374694826e-05,0
"40",13,39,1,1,1,1,1,1,2.20029924677219,0.418283420032822,2.24,0.79,1.79729214166259,0.0110763742394439,0.352503150689592,5.18816935055614e-05,0
"41",14,40,3.72216648934409,3.69009496446233,3.35812944429927,2.10335412974353,1,1,2.07730109230615,0.691747025796212,1.09,0.16,4.54117468296375,0.127219678087392,8.79592659092446e-05,5.49536374694826e-05,0
"42",14,41,1,1,1,1,1.62685434811283,0.981374010303989,2.07730109230615,0.691747025796212,1.31,0.781,2.92949036515196,0.00391552889101329,0.355331311811918,5.49536374694826e-05,0
"43",14,42,1,1,1,1,1,1,1.08455503166188,2.81443909050431,0.73,0.563,3.00549494626041,0.00661190164625796,0.237828433655264,0.000105255379219099,0
"44",15,43,3.29136602766812,2.18038494745269,2.10096504492685,1.24281942004804,1,1,2.07730109230615,0.691747025796212,1.23,0.178,4.52972659492483,0.119374484547862,0.018851929291885,5.49536374694826e-05,0
"45",15,44,1,1,1,1,0.195986954472028,1.10382172774989,2.07730109230615,0.691747025796212,1.48,0.377,3.6097327557727,0.182390604305409,0.175553822692865,5.49536374694826e-05,0
"46",15,45,1,1,1,1,1,1,1.79424448357895,1.98215376681183,1.48,0.723,1.9498223780884,0.00838723754938508,0.276431912046777,6.36230191516871e-05,0
"47",16,46,2.83260810363572,1.29167409054935,3.2927588353632,0.736254231613129,1,1,2.07730109230615,0.691747025796212,3.51,0.47,4.25265151090568,0.0630723815169638,0.174943408834647,5.49536374694826e-05,0
"48",16,47,1,1,1,1,2.02070795677137,1.52868043533526,2.07730109230615,0.691747025796212,0.66,0.565,3.750669849701,0.0117544906852208,0.112121196896352,5.49536374694826e-05,0
"49",16,48,1,1,1,1,1,1,0.868495932919905,0.980408509564586,1.29,0.664,1.97760347315007,0.0082104743565599,0.284385238149074,0.000131440167782663,0
"50",17,49,2.18241142050829,0.598482884466648,1.81623277883045,0.341135244145989,1,1,2.07730109230615,0.691747025796212,0.78,0.654,1.90500361001956,0.0143094085529591,0.324229413437825,5.49536374694826e-05,0
"51",17,50,1,1,1,1,2.05838849060237,1.00728431330062,2.07730109230615,0.691747025796212,1.06,0.775,4.25447792428525,0.00271257547126451,0.347007538538134,5.49536374694826e-05,0
"52",17,51,1,1,1,1,1,1,0.180780849722214,0.760756459017284,0.19,0.318,5.64817469866571,0.00493013629294428,0.199085945930036,0.000631456547067692,0
"53",18,52,3.20310761826113,3.77139717398677,0.977034697309136,2.14969638917246,1,1,2.07730109230615,0.691747025796212,1.09,0.16,4.54118280457438,0.127240097454256,7.55543780285056e-05,5.49536374694826e-05,0
"54",18,53,1,1,1,1,2.15298746142071,0.265196023322642,2.07730109230615,0.691747025796212,0.21,0.721,31.4421471596393,8.05912786183518e-05,0.674991893030693,5.49536374694826e-05,0
"55",18,54,1,1,1,1,1,1,2.17157067935914,2.13731455169618,1.57,0.742,1.90915398001715,0.00857743038244706,0.279627709615743,5.25680569491026e-05,0
"56",19,55,3.82688402791973,3.93095941387583,3.84394794213586,2.24064686590922,1,1,2.07730109230615,0.691747025796212,1.09,0.16,4.5411977997185,0.12725925238279,3.58219895752589e-05,5.49536374694826e-05,0
"57",19,56,1,1,1,1,1.79322640905157,1.46443354059011,2.07730109230615,0.691747025796212,0.88,0.608,2.84848553302492,0.0124928825021843,0.133242441337824,5.49536374694826e-05,0
"58",19,57,1,1,1,1,1,1,2.78946345145814,2.5507211321732,1.57,0.751,1.9288039923889,0.00861533027634282,0.279720652952018,4.0923730720286e-05,0
"59",20,58,2.95258249307517,3.84596956812311,2.7703153162729,2.19220265383017,1,1,2.07730109230615,0.691747025796212,1.09,0.16,4.54119227667937,0.127253960802046,4.7421860555722e-05,5.49536374694826e-05,0
"60",20,59,1,1,1,1,1.4746875487268,0.673390175681561,2.07730109230615,0.691747025796212,0.9,0.755,4.97352750696434,0.00160375018682836,0.500711251340233,5.49536374694826e-05,0
"61",20,60,1,1,1,1,1,1,2.68144382529426,1.37633260164876,1.95,0.783,1.74924497921838,0.00965199541702863,0.308605260903632,4.2572307525042e-05,1
"62",21,61,3.95390943821985,0.9579849364236,1.17466377222445,0.546051413761452,1,1,2.68144382529426,1.37633260164876,0.8,0.505,3.44664122576643,0.0513509768173113,0.159836069672528,4.2572307525042e-05,0
"63",21,62,1,1,1,1,0.39762692397926,2.22933967155404,2.68144382529426,1.37633260164876,0,0.515,2411.94767794802,0,1,4.2572307525042e-05,0
"64",21,63,1,1,1,1,1,1,1.0274335850263,0.239575093239546,2.22,0.791,1.78561158903474,0.0109062753361604,0.351074974219242,0.000111107182795305,0
"65",22,64,1.9116426105611,2.12308976298664,0.514797623734921,1.21016116490238,1,1,2.68144382529426,1.37633260164876,1.01,0.179,4.44633249727017,0.0967216547924027,0.0181054224506896,4.2572307525042e-05,0
