"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,1
"2",1,1,2.60328687576111,1.36803000373766,2.71122077258769,0.779777102130465,1,1,1,1,0.72,0.255,3.83111779648259,0.0366140532144738,0.090547610974585,0
"3",1,2,1,1,1,1,0.743244536919519,0.37075910998974,1,1,0.88,0.754,5.12977749769973,0.0012404379243888,0.62105549262865,0
"4",1,3,1,1,1,1,1,1,1.65397494004574,2.01603873621207,1.39,0.708,2.00669761179135,0.00819721823373464,0.27247978521156,1
"5",2,4,2.15582122420892,3.68871845083777,2.63207388925366,2.10256951697753,1,1,1.65397494004574,2.01603873621207,0.25,0.089,4.15498069884314,0.0456153807821483,6.41759449970025e-05,0
"6",2,5,1,1,1,1,1.80699277268723,1.51697393881623,1.65397494004574,2.01603873621207,0.49,0.687,10.6767300180664,0.00188748310426643,0.306495338369113,0
"7",2,6,1,1,1,1,1,1,2.3052455868572,0.199343334697187,2.25,0.777,1.84275882718859,0.0118517286157127,0.369712965470899,1
"8",3,7,1.0981726765167,3.65850205498282,2.34428779734299,2.08534617134021,1,1,2.3052455868572,0.199343334697187,2.79,0.169,4.75187580247126,0.290000757936075,0.000310148546459008,0
"9",3,8,1,1,1,1,0.956679374957457,0.722268268023618,2.3052455868572,0.199343334697187,1.61,0.755,1.87290062901021,0.00534079784957469,0.485804485248933,0
"10",3,9,1,1,1,1,1,1,0.707233396242373,2.1325134446146,0.54,0.491,3.3361380842105,0.00626311353848163,0.22761811445975,0
"11",4,10,2.91196874366142,1.02145976386964,2.28657298209146,0.582232065405697,1,1,2.3052455868572,0.199343334697187,2.77,0.625,4.03666568326392,0.0709837379086649,0.286213226207907,0
"12",4,11,1,1,1,1,2.29298653248698,1.10438328748569,2.3052455868572,0.199343334697187,1.05,0.758,4.07620699084224,0.0032042995388628,0.338693953642022,0
"13",4,12,1,1,1,1,1,1,1.83142545197625,2.43342544473708,1.33,0.704,2.10562691882278,0.00800531876229563,0.26729452346459,0
"14",5,13,1.34221245767549,1.23014606919605,3.36394703295082,0.70118325944175,1,1,2.3052455868572,0.199343334697187,-0.26,-0.035,4.22780691685326,0.0523591162422294,0.323488090874079,0
"15",5,14,1,1,1,1,2.49996428533923,0.333043717150576,2.3052455868572,0.199343334697187,0.25,0.719,25.39816778258,0.000124066148817966,0.64634531443197,0
"16",5,15,1,1,1,1,1,1,0.88051392219495,1.79362161960453,0.84,0.577,2.54228937073216,0.00710304640738865,0.249640126343428,0
"17",6,16,3.65698414354119,2.83334896108136,3.85530877439305,1.61500890781637,1,1,2.3052455868572,0.199343334697187,2.86,0.174,4.74836017901564,0.293336533653018,0.00421754586365858,0
"18",6,17,1,1,1,1,2.31401337520219,1.76033797501586,2.3052455868572,0.199343334697187,0,0.515,2411.92921826274,0,1,0
"19",6,18,1,1,1,1,1,1,2.18211670385208,0.769539885199629,2.13,0.79,1.75886337332658,0.0102388349393245,0.330499025366129,1
"20",7,19,0.506095821619965,3.91867931978777,0.519918304518797,2.23364721227903,1,1,2.18211670385208,0.769539885199629,0.96,0.144,4.53311059094623,0.125521972882008,5.97646530502569e-05,0
"21",7,20,1,1,1,1,1.26222490004729,1.09082256141119,2.18211670385208,0.769539885199629,1.82,0.783,1.82022964455805,0.00876156296705713,0.290559480712379,0
"22",7,21,1,1,1,1,1,1,1.59772120432463,1.47717989860103,1.62,0.736,1.85234097291327,0.00869528810897021,0.288040760902751,0
"23",8,22,1.43470952729695,2.98487251333427,3.00358137243893,1.70137733260053,1,1,2.18211670385208,0.769539885199629,1.07,0.161,4.53164168658761,0.123376204555411,0.00137112223299293,0
"24",8,23,1,1,1,1,2.91417516449001,0.601374278427102,2.18211670385208,0.769539885199629,0.39,0.739,16.1707485066711,0.000302320362222669,0.537520688629497,0
"25",8,24,1,1,1,1,1,1,1.42684300129768,2.72819254249334,1,0.637,2.50274501810061,0.00725739712393886,0.252091518265652,0
"26",9,25,2.38305542408489,1.62661886925343,2.12552267266437,0.927172755474457,1,1,2.18211670385208,0.769539885199629,1.8,0.257,4.44782117573287,0.0911970936510753,0.0864817776972581,0
"27",9,26,1,1,1,1,2.52170834706631,2.78281132071279,2.18211670385208,0.769539885199629,0,0.514,2411.80095851146,0,1,0
"28",9,27,1,1,1,1,1,1,2.70643862406723,0.488755620340817,2.21,0.785,1.79965232012978,0.0110716353971532,0.351660976304013,0
"29",10,28,0.803595732664689,1.36137677659281,0.51334352849517,0.775984762657899,1,1,2.18211670385208,0.769539885199629,2.01,0.296,4.28699954635017,0.0616018682973493,0.171113414259941,0
"30",10,29,1,1,1,1,1.61380291115493,1.19384610853158,2.18211670385208,0.769539885199629,1.51,0.771,2.23725851042013,0.00757070272084259,0.24496805445815,0
"31",10,30,1,1,1,1,1,1,1.40140527428593,0.594777341955341,2.07,0.783,1.7602610911899,0.00999253422463317,0.328793862971272,0
"32",11,31,1.18388244393282,3.72012648312375,3.40415009926073,2.12047209538054,1,1,2.18211670385208,0.769539885199629,0.73,0.11,4.55296984617807,0.114717199030076,0.000161824220654579,0
"33",11,32,1,1,1,1,1.79108780650422,2.75776614663191,2.18211670385208,0.769539885199629,0,0.514,2411.80956630589,0,1,0
"34",11,33,1,1,1,1,1,1,2.63242594716139,2.13709325131495,1.68,0.76,1.84761822959951,0.00889236844357536,0.285808990631845,0
"35",12,34,1.93253525649197,1.59661806037184,3.53088876570109,0.910072294411948,1,1,2.18211670385208,0.769539885199629,1.19,0.183,4.41720937606347,0.0807091031927198,0.121595635761148,0
"36",12,35,1,1,1,1,2.07082546048332,0.734533951594494,2.18211670385208,0.769539885199629,0.7,0.753,7.49376337621157,0.00102308094413011,0.475345617599132,0
"37",12,36,1,1,1,1,1,1,1.23214854213875,2.36168728587218,0.97,0.622,2.46325599936415,0.00728467279611581,0.251702380202724,0
"38",13,37,3.37194873928092,3.71009881061036,2.43068684672471,2.11475632204791,1,1,2.18211670385208,0.769539885199629,1.09,0.165,4.53360425418749,0.118929771777093,0.000106509494797497,0
"39",13,38,1,1,1,1,0.635615629819222,1.36999387112446,2.18211670385208,0.769539885199629,0.89,0.422,2.46911297599654,0.0556085409220494,0.126662263452463,0
"40",13,39,1,1,1,1,1,1,2.39553907618392,1.44000475725625,1.9,0.778,1.76048785305522,0.00942056599383208,0.303005635359144,0
"41",14,40,3.20497387403157,2.68899901211262,1.69974715483841,1.53272943690419,1,1,2.18211670385208,0.769539885199629,1.25,0.177,4.53732957921773,0.119859219892032,0.00341504305920108,0
