"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,1
"2",1,1,3.64224032079801,2.76897607487626,0.654445999534801,1.57831636267947,1,1,1,1,0.18,0.152,3.4901773700649,0.0445104840590341,0.000617840391726954,0
"3",1,2,1,1,1,1,1.73635546017904,1.66415277449414,1,1,0,0.27,585.499561991039,0.018595341351799,0.0923401188045347,0
"4",1,3,1,1,1,1,1,1,0.864807444461621,1.7882699229056,0.25,0.302,3.88383666515458,0.012999205184326,0.207080063865817,0
"5",2,4,1.2151007152861,3.91101563535631,1.40813322679605,2.22927891215309,1,1,1,1,0.18,0.147,3.49186670054809,0.0462862132888871,6.46899348018766e-06,0
"6",2,5,1,1,1,1,0.793937404337339,1.44934695793781,1,1,0.06,0.185,9.862168569935,0.0473458438988922,0.0349521021642482,0
"7",2,6,1,1,1,1,1,1,1.37954402465839,1.36239916770719,0.64,0.417,2.28323608255134,0.0181056794293493,0.260500183928904,1
"8",3,7,1.75896644208115,1.26777775026858,3.31648854992818,0.72263331765309,1,1,1.37954402465839,1.36239916770719,0.22,0.159,3.34587491332617,0.0401560502414358,0.0896275791315199,0
"9",3,8,1,1,1,1,0.810007842606865,2.21552644707263,1.37954402465839,1.36239916770719,0,0.655,1977.77541753784,0,1,0
"10",3,9,1,1,1,1,1,1,0.538246719283052,2.58316679259296,0.11,0.267,8.9201056568712,0.00720180302553138,0.204829738074121,0
"11",4,10,1.69462622632273,1.28905135963578,3.22676779190078,0.734759274992393,1,1,1.37954402465839,1.36239916770719,0.22,0.158,3.36084114130494,0.0407170229972613,0.0850269131453676,0
"12",4,11,1,1,1,1,1.5448934918968,0.722516804304905,1.37954402465839,1.36239916770719,1.16,0.696,3.8187526569694,0.00401321050627256,0.462464294509251,0
"13",4,12,1,1,1,1,1,1,0.998931735195219,1.26524394524749,0.41,0.349,2.75889496187571,0.0160980970264201,0.240712385381778,0
"14",5,13,3.17424911702983,3.97805050492752,2.98717166576535,2.26748878780869,1,1,1.37954402465839,1.36239916770719,0.22,0.155,3.53214616182228,0.0559437070717619,5.55217284202124e-06,0
"15",5,14,1,1,1,1,1.04447823287919,1.35515689563472,1.37954402465839,1.36239916770719,0.08,0.18,6.91867852751506,0.0348828103410617,0.0873407740363368,0
"16",5,15,1,1,1,1,1,1,0.117234769114293,0.672464573034085,0.03,0.166,17.6351891172674,0.00573101380803307,0.106326779802902,0
"17",6,16,3.84089979378041,1.16353725024965,0.989817925728858,0.663216232642298,1,1,1.37954402465839,1.36239916770719,0.48,0.314,3.07786562157602,0.0408188372456771,0.075549446720277,0
"18",6,17,1,1,1,1,1.85468485592864,2.16399819571525,1.37954402465839,1.36239916770719,0,0.655,1977.63483606061,0,1,0
"19",6,18,1,1,1,1,1,1,2.40707475768868,0.89402825939469,1.89,0.622,2.08272848960966,0.0254831323410766,0.323426208242301,1
"20",7,19,2.83899336808827,3.95769419753924,2.62143851188011,2.25588569259737,1,1,2.40707475768868,0.89402825939469,0.46,0.156,4.12162778415454,0.109747483922852,1.90880888516851e-05,0
"21",7,20,1,1,1,1,1.88447699074168,0.282103175017983,2.40707475768868,0.89402825939469,0.23,0.524,18.4516310555198,0.000371137686284152,0.689171570651133,0
"22",7,21,1,1,1,1,1,1,1.55292926065158,0.336671298393048,2.31,0.654,2.19106732643494,0.0297327543115419,0.349958157392628,0
"23",8,22,2.37824877188541,1.51297076209448,2.27184142288752,0.862393334393855,1,1,2.40707475768868,0.89402825939469,0.61,0.198,4.02844409354815,0.0945420044951863,0.0639995465266429,0
"24",8,23,1,1,1,1,1.07794330609031,2.70569827645086,2.40707475768868,0.89402825939469,0,0.655,1977.65211974998,0,1,0
"25",8,24,1,1,1,1,1,1,0.319123923103325,2.41184732841793,0.06,0.224,14.1075022860129,0.00641021999174538,0.112018080235973,0
"26",9,25,1.18395911285188,3.0559519501403,3.53603320429102,1.74189261157997,1,1,2.40707475768868,0.89402825939469,0.46,0.156,4.12002156872887,0.111730518113395,0.000525903064610118,0
