"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","SOMpTO","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,0,1
"2",1,1,0.694232434732839,1.95922458707355,1.68813978869002,1.11675801463192,1,1,1,1,0.42,0.156,4.02274341632062,0.0475296881882411,0.0223971226653216,9.48984335988033,0
"3",1,2,1,1,1,1,2.59198338908609,2.14600657215342,1,1,0,0.514,2411.81263054477,0,1,9.48984335988033,0
"4",1,3,1,1,1,1,1,1,2.4930325722089,1.66826942437328,1.82,0.771,1.7807772849102,0.00924871298598766,0.296485372364729,3.8065460779247,1
"5",2,4,1.10657243488822,1.14309277804568,2.22547415690497,0.65156288348604,1,1,2.4930325722089,1.66826942437328,0.75,0.191,3.72799654824765,0.0294573910405643,0.218132507062007,3.8065460779247,0
"6",2,5,1,1,1,1,1.88111352217384,2.81666922436561,2.4930325722089,1.66826942437328,0,0.514,2411.80138193831,0,1,3.8065460779247,0
"7",2,6,1,1,1,1,1,1,0.655284057627432,2.83552071629092,0.37,0.434,4.42400498300553,0.00549274182249193,0.209377592678236,14.4820299676448,0
"8",3,7,1.66317877860274,0.853790314868093,0.754982398939319,0.486660479474813,1,1,2.4930325722089,1.66826942437328,2.1,0.738,2.90644242673442,0.0229331239230704,0.23811092168221,3.8065460779247,0
"9",3,8,1,1,1,1,0.431273815408349,0.858424810506403,2.4930325722089,1.66826942437328,3.13,0.756,2.5773400908272,0.0250230981885187,0.350435696348887,3.8065460779247,0
"10",3,9,1,1,1,1,1,1,2.03153911454137,1.35061529022641,1.85,0.769,1.77294326641342,0.00926825503197367,0.301062017260331,4.67125800923734,1
"11",4,10,1.03562529745977,3.15128943277523,3.29758778831456,1.79623497668188,1,1,2.03153911454137,1.35061529022641,0.7,0.162,4.34524415863556,0.0809731413078682,0.000619869406646577,4.67125800923734,0
"12",4,11,1,1,1,1,1.63358630137518,1.79238046349492,2.03153911454137,1.35061529022641,0,0.515,2411.90023572052,0,1,4.67125800923734,0
"13",4,12,1,1,1,1,1,1,1.04050186844543,1.59645035658032,1.11,0.639,2.18313971195512,0.00768888008192352,0.265055289761349,9.12044816801602,0
"14",5,13,2.3999993839534,3.01014251669403,2.21081211906858,1.7157812345156,1,1,2.03153911454137,1.35061529022641,0.7,0.162,4.34523129409285,0.0809473258847972,0.000632102836464513,4.67125800923734,0
"15",5,14,1,1,1,1,2.86792988774832,1.6077116946457,2.03153911454137,1.35061529022641,0,0.055,58.1321891392692,0.0151660267851286,0.0102510378001562,4.67125800923734,0
"16",5,15,1,1,1,1,1,1,1.68827938092873,2.63595575545914,1.19,0.679,2.26464585011687,0.00766935227119814,0.260620345529466,5.62101478409335,0
"17",6,16,2.59364748210646,1.77495751867536,0.983386322390288,1.01172578564496,1,1,2.03153911454137,1.35061529022641,0.96,0.213,4.29298388803245,0.0698227749267222,0.0413335772589283,4.67125800923734,0
"18",6,17,1,1,1,1,0.50328643519897,0.411950440937653,2.03153911454137,1.35061529022641,1.39,0.759,2.26954734148077,0.00308056376304313,0.605569970284271,4.67125800923734,0
"19",6,18,1,1,1,1,1,1,0.982653870736249,0.689062265027314,1.72,0.735,1.80421527667501,0.00911871911308349,0.309014798882301,9.65736119552463,0
"20",7,19,3.82270455604885,2.97476870403625,2.86568309471477,1.69561816130066,1,1,2.03153911454137,1.35061529022641,0.71,0.163,4.34510173682016,0.0808858984688671,0.000814678270265797,4.67125800923734,0
"21",7,20,1,1,1,1,2.80205673759338,1.52229541114066,2.03153911454137,1.35061529022641,0.16,0.387,10.5731369688917,0.0101142814221721,0.0725821391402825,4.67125800923734,0
"22",7,21,1,1,1,1,1,1,0.826161858905107,2.70667860882822,0.54,0.497,3.53646514081636,0.0061120112458237,0.224820583601348,11.486663609062,0
"23",8,22,3.54467698093504,2.06102643883787,3.72392802790273,1.17478507013759,1,1,2.03153911454137,1.35061529022641,0.78,0.177,4.3276362752343,0.0761541391506425,0.0180125038334368,4.67125800923734,0
"24",8,23,1,1,1,1,1.62800394590013,1.20990018311422,2.03153911454137,1.35061529022641,1.12,0.691,2.69746230798861,0.00818642520408146,0.185325931825553,4.67125800923734,0
"25",8,24,1,1,1,1,1,1,0.552478442946449,2.63195986938663,0.31,0.404,4.82961279088247,0.00526672711352218,0.20212747158352,17.1768572711536,0
"26",9,25,1.01468339690473,3.12802316003945,1.49758371023927,1.78297320122248,1,1,2.03153911454137,1.35061529022641,0.7,0.162,4.34536953518867,0.0810002149862621,0.00046619598836932,4.67125800923734,0
"27",9,26,1,1,1,1,1.23908838005736,2.88277433037292,2.03153911454137,1.35061529022641,0,0.514,2411.81360801081,0,1,4.67125800923734,0
"28",9,27,1,1,1,1,1,1,1.72100606935564,2.28286759313196,1.33,0.701,2.08612525085213,0.00802571818902072,0.267828108813027,5.51412544607317,0
"29",10,28,2.65899243531749,2.42735990067013,3.40575287758838,1.38359514338197,1,1,2.03153911454137,1.35061529022641,0.72,0.165,4.34098980462656,0.0796918539229147,0.00527717564199258,4.67125800923734,0
"30",10,29,1,1,1,1,1.90177718219347,0.426036625355482,2.03153911454137,1.35061529022641,0.37,0.737,17.0841903030745,0.000242897191556189,0.612124927062829,4.67125800923734,0
