"","i","iter","Vslope_x","Vint_x","Kslope_x","Kint_x","Tau_x","CUE_x","desorb_x","fPHYS_x","slope","r2","RMSE","MICpropSOC","LITpropSOC","improve"
"1",0,1,1,1,1,1,1,1,1,1,0,0,3.5,0,0,1
"2",1,1,2.56921260792296,3.99551462172531,0.630526769324206,2.27744333438342,1,1,1,1,0.18,0.147,3.49186600648537,0.0462863451973413,5.20983353697893e-06,0
"3",1,2,1,1,1,1,0.952656807331368,1.67299344623461,1,1,0,0.271,587.207176687707,0.0329781514632629,0.0876031930643451,0
"4",1,3,1,1,1,1,1,1,2.09829096598551,2.91883388082497,0.27,0.317,3.75355484942246,0.0140493198858402,0.309268042034278,0
"5",2,4,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1,1,0.67,0.543,2.15304181772925,0.0267871650115563,0.169124643221658,1
"6",2,5,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.80795362258796,2.16531652347185,1,1,0,0.462,1592.69907564868,0,1,0
"7",2,6,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1.41563724507578,0.333651465899311,0.95,0.576,2.80158729771501,0.0569787509619159,0.249894639892346,0
"8",3,7,3.66473789559677,3.61414724320639,1.14258106518537,2.06006392862764,1,1,1,1,0.18,0.147,3.49182794356999,0.0462832454753338,2.62017393279258e-05,0
"9",3,8,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.36924616270699,0.983108990546316,1,1,0.37,0.572,3.36137473035916,0.00836038556088548,0.240927618083102,0
"10",3,9,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.610142989107408,0.561783853522502,0.57,0.499,2.26114104398934,0.0263842146549718,0.165177294379738,0
"11",4,10,0.597502194112167,1.14093363319989,1.52907613676507,0.650332170923939,1,1,1,1,0.15,0.131,3.24815403178013,0.0331166436663393,0.120979559235803,0
"12",4,11,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.96594003166538,1.38141282859724,1,1,0.16,0.357,6.37042113030044,0.0174733040219159,0.0609651258126322,0
"13",4,12,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,2.42311890872661,0.330602262495086,0.88,0.543,3.0676042630131,0.073013868410728,0.283665330804816,0
"14",5,13,3.33693928876892,3.90432666800916,1.66822920541745,2.22546620076522,1,1,1,1,0.17,0.14,3.51270643354028,0.0434803016664566,1.37143931903134e-05,0
"15",5,14,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.29526939340867,1.53812269994523,1,1,0.05,0.235,15.9928008387528,0.0170998803721308,0.0215682393276493,0
"16",5,15,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,2.92927610410843,1.92362243139651,0.86,0.602,2.40312155126061,0.0380751715903779,0.206573763292166,0
"17",6,16,2.15159646712709,2.36089046183042,2.33588530821726,1.34570756324334,1,1,1,1,0.18,0.148,3.4883243215428,0.0460732262699619,0.00176261251575681,0
"18",6,17,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.21764363604598,0.618119066697545,1,1,0.17,0.479,6.40003369944617,0.00419956073546605,0.442110600209104,0
"19",6,18,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,2.12708123263437,1.29116711772513,0.9,0.602,2.39079808568304,0.0379096872890823,0.206331623017981,0
"20",7,19,1.04194477770943,3.89244625414722,2.54286958603188,2.21869436486391,1,1,1,1,0.18,0.148,3.4924536896834,0.0456605263105994,1.03230720645812e-05,0
"21",7,20,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.318385531893,2.43017005887814,1,1,0,0.462,1592.69722118393,0,1,0
"22",7,21,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.981863572518341,1.49058690932579,0.52,0.507,2.33679876699542,0.0212827315154623,0.149649075569606,0
"23",8,22,1.36061137821525,3.4859121699119,1.89616455312353,1.98696993684978,1,1,1,1,0.18,0.152,3.50093404850526,0.0431684671749241,4.15256509112194e-05,0
"24",8,23,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.58565458953381,2.27828434556723,1,1,0,0.462,1592.67021405372,0,1,0
"25",8,24,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.812832332449034,0.558780496800318,0.76,0.556,2.21042033435716,0.0321182486372014,0.184820773172834,0
"26",9,25,3.82571534335148,2.24906334478874,2.85281049704645,1.28196610652958,1,1,1,1,0.11,0.115,3.67071618963367,0.0493018230140711,0.00304745651762151,0
"27",9,26,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,0.346991172479466,1.5161861598026,1,1,0.04,0.164,13.9419912841899,0.114886331272675,0.007966916829525,0
"28",9,27,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,2.73078092259821,2.44355282150209,0.81,0.584,2.19882673998061,0.0306812567033897,0.21972257447082,0
"29",10,28,2.39592787995934,2.04388364485931,2.26443346531596,1.1650136775698,1,1,1,1,0.18,0.15,3.47983196878727,0.0456362043639427,0.00546960719285485,0
"30",10,29,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.79073413142469,0.136046097590588,1,1,0.04,0.437,34.9587194389116,0.000399398738590106,0.712850606558299,0
"31",10,30,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1.4582563044969,2.85558729586191,0.63,0.569,2.1327625252371,0.0173195547453892,0.186767696432254,1
"32",11,31,0.973389676655643,3.56079557177145,3.1446467814967,2.02965347590973,1,1,1.4582563044969,2.85558729586191,0.21,0.18,3.30161004499506,0.027668238813312,8.45351781613524e-05,0
"33",11,32,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.02018801691011,0.56998520239722,1.4582563044969,2.85558729586191,0.13,0.473,8.91666943373067,0.0026558603367415,0.470453714375007,0
"34",11,33,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1.64407290006056,0.900579688814469,0.91,0.598,2.39971133162451,0.0387872322035149,0.207877407510031,0
"35",12,34,1.25445481366478,3.35050165979192,1.66836094087921,1.90978594608139,1,1,1.4582563044969,2.85558729586191,0.2,0.18,3.30109933351058,0.0287042884190898,9.92057022948934e-05,0
"36",12,35,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.033476800262,0.421306620468386,1.4582563044969,2.85558729586191,0.18,0.468,6.00511681283999,0.00453929321234198,0.521205586925645,0
"37",12,36,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.4168994856067,1.88091540036257,0.12,0.306,7.58656343951877,0.00966915693518849,0.0936259614671731,0
"38",13,37,1.45098714402411,2.52221432258375,1.78350214799866,1.43766216387274,1,1,1.4582563044969,2.85558729586191,0.09,0.114,3.73148210219376,0.0408674363259326,0.000781320340317909,0
"39",13,38,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.20408470332623,0.846696421690285,1.4582563044969,2.85558729586191,0.25,0.548,5.13532926001283,0.00487805384531595,0.309916655759333,0
"40",13,39,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.491373899369501,2.33592302920297,0.14,0.324,7.1618157526201,0.00953437509340834,0.0987502399069726,0
"41",14,40,0.505409310339019,2.21227940521203,1.87951036368031,1.26099926097086,1,1,1.4582563044969,2.85558729586191,0.08,0.103,3.79034647432719,0.0362632477767514,0.00656992908790044,0
"42",14,41,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.26965655097738,0.71096447755117,1.4582563044969,2.85558729586191,0.17,0.506,7.26183974525579,0.00324852837513635,0.402229265320126,0
"43",14,42,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1.20503298253752,2.12100286940113,0.53,0.529,2.30905619924601,0.0198893924048772,0.153803903253937,0
"44",15,43,3.8271191661479,1.73054283158854,1.11440804111771,0.986409414005466,1,1,1.4582563044969,2.85558729586191,0.11,0.138,3.73749290559413,0.0324246162646844,0.018703653453119,0
"45",15,44,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.91617863716092,2.31709083947353,1.4582563044969,2.85558729586191,0,0.462,1592.66274590949,0,1,0
"46",15,45,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.886819334537722,1.70251667574048,0.42,0.472,2.72532032427172,0.0184225984387453,0.137739865475969,0
"47",16,46,2.15406266250648,1.31321082205977,0.725342782214284,0.748530168574071,1,1,1.4582563044969,2.85558729586191,0.15,0.178,3.54657683649378,0.0298898062154381,0.0589476265851148,0
"48",16,47,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,0.117359360679984,2.40292294698302,1.4582563044969,2.85558729586191,0,0.462,1593.13375455007,0,1,0
"49",16,48,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.553882229188457,0.778563781618141,0.38,0.434,2.77565005516381,0.0203101585964293,0.143436834772112,0
"50",17,49,1.1319985720329,1.75654370081611,0.728463401901536,1.00122990946518,1,1,1.4582563044969,2.85558729586191,0.07,0.092,3.76089862328212,0.0384949870957292,0.0166918697912181,0
"51",17,50,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.39797895727679,1.20000840697903,1.4582563044969,2.85558729586191,0.32,0.527,4.73609414815103,0.0152342997555526,0.138201263969746,0
"52",17,51,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1.63600989945699,2.39192971207667,0.67,0.581,2.0571867076619,0.0230535010838843,0.16947581054567,1
"53",18,52,2.00280139385723,3.45302797795739,3.27883409056813,1.96822594743571,1,1,1.63600989945699,2.39192971207667,0.13,0.096,3.56160780161249,0.0366370549553903,6.21417586006586e-05,0
"54",18,53,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,2.882256929297,1.96361829086673,1.63600989945699,2.39192971207667,0,0.462,1592.67900169522,0,1,0
"55",18,54,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1.84856800579,0.548453008383513,0.94,0.58,2.73715246113725,0.052313338346047,0.242370803813205,0
"56",19,55,1.06312733911909,3.01456717052497,1.0045711818384,1.71830328719923,1,1,1.63600989945699,2.39192971207667,0.18,0.148,3.46375828498511,0.0444896650452074,0.000168240804967127,0
"57",19,56,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.93435259412508,1.72550771050155,1.63600989945699,2.39192971207667,0,0.444,1023.85795822709,0.00405021905972795,0.582186276828448,0
"58",19,57,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,1.27647041282617,1.27316303318366,0.73,0.57,2.12011942696235,0.0277429614680386,0.173336967628045,0
"59",20,58,1.67407821689267,1.57252113556024,0.862883872236125,0.896337047269335,1,1,1.63600989945699,2.39192971207667,0.26,0.197,3.33984051454315,0.0364144632736009,0.0337493674847512,0
"60",20,59,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1.58555624571163,0.131635188311338,1.63600989945699,2.39192971207667,0.03,0.437,41.3005249874576,0.000291795246971227,0.72743537784742,0
"61",20,60,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,1,1,0.6171262470074,0.358372764568776,0.77,0.554,2.2419210128583,0.0342119388718122,0.188907238116922,0
"62",21,61,2.88306590495631,0.937974996399134,1.60619609721471,0.534645747947507,1,1,1.63600989945699,2.39192971207667,0.54,0.401,2.62089628704433,0.0286582824882998,0.117545683478216,0
"63",21,62,2.66189139778726,0.719525138963945,1.17389849037863,0.410129329209449,0.3020655880915,2.39232532032765,1.63600989945699,2.39192971207667,0,0.462,1592.84648679052,0,1,0
