Vslope_x,Vint_x,Kslope_x,Kint_x,Tau_x,CUE_x,desorb_x,fPHYS_x,Vslope_spc,Vint_spc,Kslope_spc,Kint_spc,Tau_spc,CUE_spc,desorb_spc,fPHYS_spc
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
3.853107615,1.16299943,0.839868442,1.546675755,0.455164391,0.544205741,0.078479435,0.336044881,0.95919656,0.319629418,0.122185678,0.461731761,0.057468293,0.191225412,0.259128544,0.081715509
